Index,Department,Code,Title,BOJA_Published,Time Auditing,Complete,Resume,BOJA_Link,Year_of_Audit
108,Junta de Andalucía,JA 08/2000,Gestión de Infraestructuras Deportivas: convenios de colaboración entre la Junta de Andalucía y Corporaciones Locales - 2001,"Nro. 115, 18/06/2003",Cerca de 4 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=68&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=68&type=resume,http://www.juntadeandalucia.es/boja/2003/115/d32.pdf,2000
110,Junta de Andalucía,JA 03/2000,Fiscalización de los centros concertados con la Consejería de Educación y Ciencia - 1998/1999,"Nro. 15, 23/01/2003",Cerca de 4 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=65&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=65&type=resume,http://www.juntadeandalucia.es/boja/2003/15/d5.pdf,2000
111,Junta de Andalucía,JA 05/2000,Análisis de la Gestión de Fondos Europeos: Fiscalización de determinados proyectos financiados con FEDER,"Nro. 131, 09/11/2002",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=63&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=63&type=resume,http://www.juntadeandalucia.es/boja/2002/131/boletin.131.pdf,2000
95,Junta de Andalucía,JA 06/2000,La presencia de la Administración de la Junta de Andalucía en la WEB,"Nro. 200,13/10/2005",Cerca de 6 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=92&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=92&type=resume,http://www.juntadeandalucia.es/boja/2005/200/d29.pdf,2000
113,Junta de Andalucía,JA 05/1999,"Análisis del Fondo Andaluz de Garantía Agraria con especial referencia al régimen de ayuda a la producción de aceite de oliva. Fiscalización de la almazara ""Sociedad Cooperativa Andaluza San José"" - Campaña 1998/1999.","Nro. 96, 17/08/2002",Cerca de 4 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=59&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=59&type=resume,Debe consultarse directamente en BOJA,1999
120,Junta de Andalucía,JA 06/1999,Fiscalización del Programa Presupuestario de Acción Social - 1998,"Nro. 37, 29/03/2001",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=49&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=49&type=resume,https://www.juntadeandalucia.es/boja/2001/37/51,1999
125,Junta de Andalucía,JA 01/1999,Informe de fiscalización de la Cuenta General y Contratación de la Junta de Andalucía. 1998,"Nro. 77, 06/07/2000",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=37&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=37&type=resume,https://www.juntadeandalucia.es/boja/2000/77/54,1999
121,Junta de Andalucía,JA 07/1999,"Resultados, financiación y rentas generadas por determinadas empresas de la Junta de Andalucía: Transferencias de Capital y Planes de Inversión - 1995/1997","Nro. 2, 04/01/2001",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=46&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=46&type=resume,https://www.juntadeandalucia.es/boja/2001/2/65,1999
124,Junta de Andalucía,JA 03/1999,Informe sobre la fiscalización de los Ingresos por el Impuesto de Transmisiones Patrimoniales y Actos Jurídicos Documentados.1998,"Nro. 83, 20/07/2000",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=39&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=39&type=resume,https://www.juntadeandalucia.es/boja/2000/83/52,1999
119,Junta de Andalucía,JA 01.1/1999,Fiscalización del Fondo de Compensación Interterritorial 1998,"Nro. 28, 08/03/2001",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=48&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=48&type=resume,https://www.juntadeandalucia.es/boja/2001/28/d71.pdf,1999
